Name of University;Country;Continent;Exchange Program;Degree Level;Term Dates;Approximate Places Available;Requirements;University URL;Latitude;Longitude;Testimonials
Beijing Foreign Studies University;China;Asia;Partner University;Bachelor/Master;September - January, February - July;"Bachelor: 2;  Master: 4";"Recommended for International Affairs students; No Chinese nationals";https://en.bfsu.edu.cn;39.95734156;116.3207486;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Hong Kong;China;Asia;Partner University/Freemover;Bachelor;August - December, January - May;Bachelor: 2;"Min. grade average of 5.00 for Law Faculty; HKU accommodation not guaranteed";https://www.hku.hk;22.28621562;114.1417252;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Hong Kong University of Science & Technology, The School of Business and Management;China;Asia;Partner University/CEMS;Bachelor/Master;August - December, January - May;"Bachelor: 10; Master: 1; CEMS: 1 per term";Master exchange with HKUST MBA Programme;https://bm.hkust.edu.hk;22.34944074;114.2896557;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Tongji University, School of Economics & Management;China;Asia;Partner University/Freemover;Bachelor;September - January, February - June;Bachelor: 4;Chinese nationals may not apply;https://sem.tongji.edu.cn/semen/;31.28771526;121.5063751;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad EAFIT;Colombia;South America;Partner University;Bachelor/Master;January - June, July - November;"Bachelor: 2; Master: 2";"Masterprogramme in Spanish only; Spanish B1/B2 required";https://www.eafit.edu.co;6.199922716;-75.57895697;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad de los Andes;Colombia;South America;Partner University/CEMS;Bachelor/Master;August - December, January - May;"Bachelor: 2; Master: 2; CEMS: 1 per term";"Spanish B1 required; MBA requires work experience";https://uniandes.edu.co;4.598292593;-74.06750669;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
INCAE Business School;Costa Rica;South America;Partner University;Master;N/A;N/A;For SIM double degree programme only;https://en.incae.edu/es/inicio;10.02238524;-84.22871549;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Zagreb School of Economics and Management (ZSEM);Croatia;Europe;Partner University;Bachelor;September - January, February - June;Bachelor: 4;;https://zsem.hr;45.81458858;15.94633384;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Prague University of Economics and Business;Czech Republic;Europe;Partner University/CEMS;Bachelor/Master;September - January, February - June;"Total: 6; CEMS: 1 per term";;https://www.vse.cz/english/;50.08436937;14.44196662;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Technical University Liberec;Czech Republic;Europe;Partner University;PhD;N/A;N/A;Only for Phd;https://www.tul.cz/en/home-page/;50.77316186;15.07469123;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
